,,Unemployment Rate (percent),,,,,,,,,,,
FIPS ,Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,Median Household Income (2019),,% of State Median HH Income
48199,"Hardin County, TX",8.4,8.1,6.4,5.7,6.1,6.2,5.2,4.6,9.0,"$62,616",,97.8%
48201,"Harris County, TX",6.6,6.1,5.1,4.7,5.3,5.1,4.4,3.9,8.9,"$61,638",,96.2%
48203,"Harrison County, TX",7.4,6.9,5.6,5.3,6.0,5.3,4.4,4.0,7.9,"$55,171",,86.1%
48205,"Hartley County, TX",3.3,3.2,2.6,2.1,2.0,2.0,1.8,1.6,2.1,"$72,796",,113.7%
48207,"Haskell County, TX",5.3,5.0,4.0,3.5,4.2,4.8,3.9,3.2,4.3,"$38,613",,60.3%
48209,"Hays County, TX",5.8,5.4,4.3,3.5,3.3,3.2,3.0,2.8,6.3,"$72,890",,113.8%
48211,"Hemphill County, TX",2.9,3.0,2.4,3.2,3.7,2.5,2.1,2.6,4.4,"$71,299",,111.3%
48213,"Henderson County, TX",7.5,7.2,5.7,4.9,4.7,4.2,3.8,3.5,6.4,"$49,896",,77.9%
48215,"Hidalgo County, TX",10.5,10.4,8.9,8.0,7.8,7.5,6.6,6.3,11.6,"$41,656",,65.0%
48217,"Hill County, TX",6.9,6.5,5.3,4.6,4.4,4.0,3.7,3.3,6.3,"$53,210",,83.1%
48219,"Hockley County, TX",5.3,5.1,3.9,4.2,4.7,3.7,3.1,2.9,7.9,"$51,149",,79.9%
48221,"Hood County, TX",6.5,6.1,5.0,4.5,4.7,4.2,3.7,3.4,6.6,"$74,534",,116.4%
48223,"Hopkins County, TX",6.4,5.8,4.8,4.2,4.0,3.6,3.4,3.1,5.1,"$50,332",,78.6%
48225,"Houston County, TX",7.0,6.3,5.0,4.5,4.6,4.4,3.7,3.1,5.3,"$43,601",,68.1%
48227,"Howard County, TX",5.6,5.4,4.4,4.6,5.5,4.3,3.3,3.1,8.1,"$61,112",,95.4%
48229,"Hudspeth County, TX",7.4,7.0,6.4,5.7,6.0,5.8,4.6,4.4,8.0,"$39,309",,61.4%
48231,"Hunt County, TX",8.2,7.5,6.0,4.8,4.3,4.0,3.8,3.6,6.5,"$57,513",,89.8%
48233,"Hutchinson County, TX",6.5,6.2,4.4,4.4,5.6,6.1,5.0,4.4,7.2,"$57,936",,90.5%
48235,"Irion County, TX",4.5,4.2,3.7,3.6,3.2,3.2,3.1,2.4,6.0,"$68,630",,107.2%
48237,"Jack County, TX",5.7,5.4,3.8,4.2,5.0,3.7,2.5,3.1,7.0,"$55,358",,86.4%
48239,"Jackson County, TX",5.1,5.0,4.0,3.8,4.7,4.0,3.3,3.0,5.8,"$55,800",,87.1%
48241,"Jasper County, TX",10.6,10.5,8.3,7.5,7.7,7.5,6.6,6.1,11.2,"$47,252",,73.8%
48243,"Jeff Davis County, TX",4.9,4.1,3.7,3.3,3.0,3.2,2.9,3.0,5.1,"$53,362",,83.3%
48245,"Jefferson County, TX",11.0,11.0,8.4,7.0,7.0,7.4,6.4,5.8,11.9,"$55,173",,86.1%
48247,"Jim Hogg County, TX",6.5,7.2,6.1,7.2,9.6,7.3,5.7,4.8,9.5,"$38,788",,60.6%
48249,"Jim Wells County, TX",6.1,6.2,5.3,7.9,10.6,7.6,5.5,4.7,13.0,"$44,444",,69.4%
48251,"Johnson County, TX",6.6,6.2,5.1,4.4,4.4,3.8,3.5,3.2,6.5,"$66,538",,103.9%
48253,"Jones County, TX",7.2,6.8,5.6,5.5,5.8,5.4,4.8,4.2,7.0,"$51,094",,79.8%
48255,"Karnes County, TX",6.0,5.4,3.7,4.3,4.9,3.5,2.9,2.5,6.3,"$54,843",,85.6%
48257,"Kaufman County, TX",6.9,6.4,5.2,4.1,3.8,3.6,3.5,3.2,6.5,"$75,009",,117.1%
48259,"Kendall County, TX",5.4,5.1,4.1,3.3,3.2,3.1,2.9,2.7,5.0,"$94,899",,148.2%
48261,"Kenedy County, TX",5.1,4.1,3.0,3.2,4.6,3.3,3.7,3.5,5.4,"$46,132",,72.0%
48263,"Kent County, TX",3.8,4.0,3.5,2.6,3.0,2.6,2.4,2.3,3.9,"$52,591",,82.1%
48265,"Kerr County, TX",5.8,5.6,4.4,3.7,3.6,3.4,3.2,2.9,5.9,"$57,789",,90.2%
48267,"Kimble County, TX",4.9,4.9,3.9,3.7,3.8,3.5,3.0,3.0,5.1,"$44,757",,69.9%
48269,"King County, TX",4.5,4.6,4.0,3.5,3.9,3.6,2.8,2.1,1.7,"$71,256",,111.3%
48271,"Kinney County, TX",8.7,9.6,7.3,6.4,5.8,5.6,4.4,3.6,6.0,"$47,076",,73.5%
48273,"Kleberg County, TX",6.9,6.5,5.5,5.9,6.7,6.0,5.0,4.3,8.4,"$47,169",,73.7%
48275,"Knox County, TX",5.2,5.4,4.4,3.8,4.2,4.0,3.6,3.2,5.6,"$40,808",,63.7%
48277,"Lamar County, TX",9.2,8.2,6.2,4.8,4.6,4.2,3.8,3.4,6.5,"$47,061",,73.5%
48279,"Lamb County, TX",7.9,6.9,5.9,9.0,6.5,5.2,4.4,3.8,5.2,"$42,719",,66.7%
48281,"Lampasas County, TX",7.1,7.2,5.7,4.4,4.2,3.8,3.8,3.3,5.4,"$58,817",,91.8%
48283,"La Salle County, TX",4.4,3.8,3.1,4.2,5.1,3.7,2.4,2.4,6.8,"$41,683",,65.1%
48285,"Lavaca County, TX",4.8,4.7,4.0,3.8,4.2,3.6,3.1,3.0,5.2,"$52,632",,82.2%
48287,"Lee County, TX",5.4,5.1,4.0,3.6,3.8,3.3,3.1,2.6,4.9,"$59,250",,92.5%
48289,"Leon County, TX",7.3,7.0,5.4,5.4,6.5,6.4,5.0,4.4,7.8,"$50,522",,78.9%
48291,"Liberty County, TX",9.5,9.0,7.3,7.0,7.5,7.2,5.8,5.0,10.6,"$53,274",,83.2%
48293,"Limestone County, TX",6.8,6.8,5.9,5.1,5.6,5.6,4.7,3.8,7.1,"$43,644",,68.1%
48295,"Lipscomb County, TX",3.8,4.0,3.4,3.9,4.4,3.2,2.7,2.6,4.2,"$65,388",,102.1%
48297,"Live Oak County, TX",4.6,4.4,3.6,4.0,5.9,4.7,3.8,3.1,7.5,"$54,163",,84.6%
48299,"Llano County, TX",6.7,6.5,5.2,4.3,4.2,3.8,3.7,3.5,5.7,"$55,617",,86.8%
48301,"Loving County, TX",6.0,5.3,5.1,5.2,4.7,5.0,1.5,0.8,1.7,"$88,487",,138.2%
48303,"Lubbock County, TX",5.3,5.0,4.0,3.4,3.4,3.2,3.1,2.8,5.7,"$54,733",,85.5%
48305,"Lynn County, TX",6.0,5.3,4.4,4.1,4.0,3.8,3.3,3.0,5.4,"$45,737",,71.4%
48307,"McCulloch County, TX",5.4,5.3,4.3,4.8,4.5,3.6,3.3,5.2,7.5,"$43,262",,67.6%
48309,"McLennan County, TX",6.6,6.2,5.1,4.1,4.0,3.9,3.6,3.3,6.2,"$51,078",,79.8%
48311,"McMullen County, TX",2.3,2.7,2.0,2.1,2.1,1.9,2.0,1.6,2.8,"$68,349",,106.7%
48313,"Madison County, TX",7.0,6.5,4.9,4.3,5.1,4.8,4.4,4.2,7.2,"$46,274",,72.3%
48315,"Marion County, TX",9.1,8.1,6.5,6.5,7.0,5.7,4.5,4.2,8.2,"$37,876",,59.1%
48317,"Martin County, TX",4.5,4.3,3.4,3.5,4.4,3.2,2.5,2.6,6.1,"$68,745",,107.3%
