"","COUNTY","YEAR_1","CASEID_1","BLS_CAREHH_KID_1","BLS_CAREHH_KIDEDUC_1","BLS_CAREHH_KIDHEALTH_1","BLS_CAREHH_KIDOTHER_1","BLS_EDUC_1","BLS_FOOD_1","BLS_HHACT_HHMGMT_1","BLS_LEIS_ARTS_1","BLS_LEIS_ATTEND_1","BLS_LEIS_ATTSPORT_1","BLS_LEIS_PARTSPORT_1","BLS_LEIS_RELAX_1","BLS_LEIS_SOC_1","BLS_LEIS_SPORT_1","BLS_LEIS_TV_1","BLS_PCARE_1","BLS_PCARE_HEALTH_1","BLS_PURCH_BANK_1","BLS_PURCH_CONS_1","BLS_PURCH_GROC_1","BLS_PURCH_HEALTH_1","BLS_PURCH_HHSERV_1","BLS_PURCH_PCARE_1","BLS_PURCH_PROF_1","BLS_SOCIAL_RELIG_1","BLS_SOCIAL_VOLACT_1","BLS_WORK_OTHER_1","BLS_WORK_WORKING_1","BLS_WORK_WORKREL_1"
"34",6097,2019,20190535332323.9,20.8571428571429,0,0,20.8571428571429,4.28571428571429,76.9285714285714,25.8571428571429,0,0,0,22.5,310.857142857143,326.5,22.5,207.214285714286,579.857142857143,0.714285714285714,0,40.3571428571429,12.8571428571429,11.4285714285714,0,0,11.4285714285714,0.357142857142857,0,0,146.214285714286,0
"35",6099,2019,20190763762994.5,27.6428571428571,0,0,27.6428571428571,5,75.7857142857143,45,0,0,0,19.6428571428571,223.357142857143,259.785714285714,19.6428571428571,153.642857142857,602.071428571429,0,0,26.6428571428571,8.57142857142857,0,0,16.4285714285714,16.4285714285714,0,0,0,118.5,0
"36",6107,2019,20190406854939.8,0,0,0,0,32.7777777777778,80.4444444444444,16.6666666666667,0,10,0,0,333.333333333333,388.111111111111,0,194,605.555555555556,0,0,16.1111111111111,7.77777777777778,0,0,0,0,41.6666666666667,0,0,50,0
"37",6111,2019,20190574145210.9,15.9090909090909,0,0,15.9090909090909,0,104.090909090909,38.3181818181818,13.6363636363636,12.0454545454545,0,19.0909090909091,245.681818181818,285.454545454545,19.6818181818182,168.090909090909,550.090909090909,5.5,0.909090909090909,24.0909090909091,4.09090909090909,0,0.681818181818182,0,0.909090909090909,0,2.72727272727273,0,197.5,0
"38",6113,2019,20190371522841.7,11.8333333333333,0,0,11.8333333333333,0,73.3333333333333,23.3333333333333,0,0,0,0,190.666666666667,241.5,0,101.5,562.5,10,0,10.8333333333333,5,0,0,0,0,0,5.83333333333333,0,315,0
"39",8000,2019,20190665478131.2,22.0375,0.75,0,21.2875,3.95,72.75,21.6375,1.6375,12.5625,0,27.15,248.6,291.1125,27.15,185.8875,587.6625,5.8375,0.1875,35,11.75,4.375,0.125,2.8125,7.775,12.125,10.325,3.625,145.1375,0
"40",8013,2019,20190656316025.2,36.6875,0,0,36.6875,7.5,99.5,37.5625,11.25,12.5,0,35.625,269.4375,329.8125,35.625,151.3125,530.625,9.8125,0,15.9375,0.9375,0,0,0,0,5.375,9.375,0,116.5,0
"41",8031,2019,20190726095637.3,6.95238095238095,0,0,6.95238095238095,0,70.7142857142857,9.09523809523809,0,0,0,8.33333333333333,224.857142857143,240.571428571429,8.33333333333333,178.428571428571,591.809523809524,0.238095238095238,0,23.5714285714286,10.952380952381,1.9047619047619,0,7.14285714285714,9.04761904761905,10,3.57142857142857,13.0952380952381,243.095238095238,0
"42",8059,2019,20190680134202.8,32.5555555555556,1.66666666666667,0,30.8888888888889,11.6666666666667,78.4444444444444,11.1111111111111,0,11.6666666666667,0,62.3888888888889,172.277777777778,247.888888888889,62.3888888888889,82.7777777777778,505.555555555556,0,0.833333333333333,25,4.44444444444444,0,1.66666666666667,0,0.833333333333333,5,35,0,124.333333333333,0
"43",8069,2019,20190908268426.1,1.92307692307692,0,0,1.92307692307692,78.9230769230769,92.7692307692308,11.5384615384615,9.23076923076923,0,0,23.0769230769231,176.846153846154,237.615384615385,23.0769230769231,137.076923076923,596.846153846154,1.15384615384615,0,21.6923076923077,8.07692307692308,8.07692307692308,0,0,8.07692307692308,4.61538461538461,9.23076923076923,0,182.769230769231,0
