District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N)
GUSTINE ISD,047903,H,Rural,43,Rural-Remote,N
GUTHRIE CSD,135001,H,Rural,43,Rural-Remote,N
HALE CENTER ISD,095903,H,Rural,42,Rural-Distant,N
HALLETTSVILLE ISD,143901,G,Non-metropolitan Stable,43,Rural-Remote,N
HALLSBURG ISD,161924,H,Rural,42,Rural-Distant,N
HALLSVILLE ISD,102904,D,Other Central City Suburban,31,Town-Fringe,N
HAMILTON ISD,097902,H,Rural,33,Town-Remote,N
HAMLIN COLLEGIATE ISD,127903,H,Rural,43,Rural-Remote,N
HAMSHIRE-FANNETT ISD,123914,D,Other Central City Suburban,42,Rural-Distant,N
HAPPY ISD,219901,H,Rural,42,Rural-Distant,N
HARDIN ISD,146904,G,Non-metropolitan Stable,42,Rural-Distant,N
HARDIN-JEFFERSON ISD,100905,D,Other Central City Suburban,42,Rural-Distant,N
HARLANDALE ISD,015904,B,Major Suburban,11,City-Large,N
HARLETON ISD,102905,H,Rural,42,Rural-Distant,N
HARLINGEN CISD,031903,D,Other Central City Suburban,13,City-Small,N
HARMONY ISD,230905,E,Independent Town,42,Rural-Distant,N
HARMONY SCHOOL OF EXCELLENCE,101858,I,Charter School Districts,11,City-Large,Y
HARMONY SCHOOL OF SCIENCE - HOUSTO,101862,I,Charter School Districts,12,City-Midsize,Y
HARMONY SCIENCE ACAD (EL PASO),071806,I,Charter School Districts,11,City-Large,Y
HARMONY SCIENCE ACAD (SAN ANTONIO),015828,I,Charter School Districts,11,City-Large,Y
HARMONY SCIENCE ACAD (WACO),161807,I,Charter School Districts,21,Suburb-Large,Y
HARMONY SCIENCE ACADEMY,101846,I,Charter School Districts,11,City-Large,Y
HARMONY SCIENCE ACADEMY (AUSTIN),227816,I,Charter School Districts,11,City-Large,Y
HARPER ISD,086902,H,Rural,43,Rural-Remote,N
HARRIS COUNTY DEPT OF ED,101000,N/A,N/A,21,Suburb-Large,N
HARROLD ISD,244901,H,Rural,42,Rural-Distant,N
HART ISD,035902,H,Rural,43,Rural-Remote,N
HARTLEY ISD,103902,H,Rural,43,Rural-Remote,N
HARTS BLUFF ISD,225907,H,Rural,41,Rural-Fringe,N
HASKELL CISD,104901,H,Rural,41,Rural-Fringe,N
HAWKINS ISD,250902,H,Rural,42,Rural-Distant,N
HAWLEY ISD,127904,H,Rural,42,Rural-Distant,N
HAYS CISD,105906,B,Major Suburban,21,Suburb-Large,N
HEARNE ISD,198905,H,Rural,32,Town-Distant,N
HEDLEY ISD,065902,H,Rural,43,Rural-Remote,N
HEMPHILL ISD,202903,G,Non-metropolitan Stable,43,Rural-Remote,N
HEMPSTEAD ISD,237902,G,Non-metropolitan Stable,32,Town-Distant,N
HENDERSON ISD,201902,E,Independent Town,32,Town-Distant,N
HENRIETTA ISD,039902,D,Other Central City Suburban,41,Rural-Fringe,N
HENRY FORD ACADEMY ALAMEDA SCHOOL,015833,I,Charter School Districts,11,City-Large,Y
HEREFORD ISD,059901,D,Other Central City Suburban,32,Town-Distant,N
HERITAGE ACADEMY,015815,I,Charter School Districts,33,Town-Remote,Y
HERMLEIGH ISD,208901,H,Rural,42,Rural-Distant,N
HICO ISD,097903,H,Rural,43,Rural-Remote,N
HIDALGO ISD,108905,D,Other Central City Suburban,21,Suburb-Large,N
HIGGINS ISD,148903,H,Rural,43,Rural-Remote,N
HIGH ISLAND ISD,084903,H,Rural,43,Rural-Remote,N
HIGH POINT ACADEMY,220819,I,Charter School Districts,21,Suburb-Large,Y
HIGHLAND ISD,177905,H,Rural,42,Rural-Distant,N
HIGHLAND PARK ISD,057911,B,Major Suburban,21,Suburb-Large,N
HIGHLAND PARK ISD,188903,G,Non-metropolitan Stable,41,Rural-Fringe,N
HILLSBORO ISD,109904,E,Independent Town,32,Town-Distant,N
HITCHCOCK ISD,084908,D,Other Central City Suburban,22,Suburb-Midsize,N
HOLLAND ISD,014905,H,Rural,42,Rural-Distant,N
HOLLIDAY ISD,005902,D,Other Central City Suburban,42,Rural-Distant,N
HONDO ISD,163904,G,Non-metropolitan Stable,32,Town-Distant,N
HONEY GROVE ISD,074907,H,Rural,43,Rural-Remote,N
HOOKS ISD,019902,H,Rural,31,Town-Fringe,N
HORIZON MONTESSORI PUBLIC SCHOOLS,108802,I,Charter School Districts,12,City-Midsize,Y
HOUSTON CLASSICAL CHARTER SCHOOL,101878,N/A,N/A,21,Suburb-Large,Y
HOUSTON GATEWAY ACADEMY INC,101828,I,Charter School Districts,11,City-Large,Y
HOUSTON HEIGHTS HIGH SCHOOL,101821,I,Charter School Districts,11,City-Large,Y
HOUSTON ISD,101912,A,Major Urban,11,City-Large,N
HOWE ISD,091905,D,Other Central City Suburban,41,Rural-Fringe,N
HUBBARD ISD,019913,H,Rural,42,Rural-Distant,N
HUBBARD ISD,109905,H,Rural,42,Rural-Distant,N
HUCKABAY ISD,072908,H,Rural,42,Rural-Distant,N
HUDSON ISD,003902,G,Non-metropolitan Stable,33,Town-Remote,N
HUFFMAN ISD,101925,G,Non-metropolitan Stable,41,Rural-Fringe,N
HUGHES SPRINGS ISD,034903,G,Non-metropolitan Stable,32,Town-Distant,N
HULL-DAISETTA ISD,146905,H,Rural,42,Rural-Distant,N
HUMBLE ISD,101913,B,Major Suburban,21,Suburb-Large,N
HUNT ISD,133902,H,Rural,42,Rural-Distant,N
HUNTINGTON ISD,003904,G,Non-metropolitan Stable,42,Rural-Distant,N
HUNTSVILLE ISD,236902,E,Independent Town,32,Town-Distant,N
HURST-EULESS-BEDFORD ISD,220916,B,Major Suburban,21,Suburb-Large,N
HUTTO ISD,246906,D,Other Central City Suburban,21,Suburb-Large,N
IDALOU ISD,152910,D,Other Central City Suburban,42,Rural-Distant,N
IDEA PUBLIC SCHOOLS,108807,I,Charter School Districts,11,City-Large,Y
IMAGINE INTERNATIONAL ACADEMY OF N,043801,I,Charter School Districts,22,Suburb-Midsize,Y
INDUSTRIAL ISD,120905,G,Non-metropolitan Stable,42,Rural-Distant,N
INGLESIDE ISD,205903,D,Other Central City Suburban,31,Town-Fringe,N
INGRAM ISD,133904,G,Non-metropolitan Stable,41,Rural-Fringe,N
INSPIRE ACADEMIES,015808,I,Charter School Districts,11,City-Large,Y
INSPIRED VISION ACADEMY,057830,I,Charter School Districts,11,City-Large,Y
INTERNATIONAL LEADERSHIP OF TEXAS,057848,I,Charter School Districts,21,Suburb-Large,Y
IOLA ISD,093903,H,Rural,42,Rural-Distant,N
IOWA PARK CISD,243903,D,Other Central City Suburban,31,Town-Fringe,N
IRA ISD,208903,H,Rural,42,Rural-Distant,N
IRAAN-SHEFFIELD ISD,186903,H,Rural,43,Rural-Remote,N
IREDELL ISD,018906,H,Rural,43,Rural-Remote,N
IRION COUNTY ISD,118902,H,Rural,42,Rural-Distant,N
IRVING ISD,057912,B,Major Suburban,12,City-Midsize,N
ITALY ISD,070907,H,Rural,42,Rural-Distant,N
ITASCA ISD,109907,H,Rural,42,Rural-Distant,N
JACKSBORO ISD,119902,G,Non-metropolitan Stable,33,Town-Remote,N
JACKSONVILLE ISD,037904,E,Independent Town,32,Town-Distant,N
JARRELL ISD,246907,D,Other Central City Suburban,42,Rural-Distant,N
JASPER ISD,121904,E,Independent Town,33,Town-Remote,N
JAYTON-GIRARD ISD,132902,H,Rural,43,Rural-Remote,N
JEAN MASSIEU ACADEMY,057819,I,Charter School Districts,11,City-Large,Y
JEFFERSON ISD,155901,G,Non-metropolitan Stable,42,Rural-Distant,N
JIM HOGG COUNTY ISD,124901,G,Non-metropolitan Stable,33,Town-Remote,N
JIM NED CISD,221911,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
JOAQUIN ISD,210902,H,Rural,43,Rural-Remote,N
JOHNSON CITY ISD,016901,H,Rural,42,Rural-Distant,N
JONESBORO ISD,050909,E,Independent Town,43,Rural-Remote,N
JOSHUA ISD,126905,D,Other Central City Suburban,41,Rural-Fringe,N
JOURDANTON ISD,007902,G,Non-metropolitan Stable,32,Town-Distant,N
JUBILEE ACADEMIES,015822,I,Charter School Districts,11,City-Large,Y
JUDSON ISD,015916,B,Major Suburban,21,Suburb-Large,N
JUNCTION ISD,134901,H,Rural,33,Town-Remote,N
KARNACK ISD,102901,H,Rural,42,Rural-Distant,N
KARNES CITY ISD,128901,G,Non-metropolitan Stable,33,Town-Remote,N
KATHERINE ANNE PORTER SCHOOL,105801,I,Charter School Districts,32,Town-Distant,Y
KATY ISD,101914,B,Major Suburban,21,Suburb-Large,N
KAUFFMAN LEADERSHIP ACADEMY,126801,I,Charter School Districts,31,Town-Fringe,Y
KAUFMAN ISD,129903,D,Other Central City Suburban,32,Town-Distant,N
KEENE ISD,126906,G,Non-metropolitan Stable,31,Town-Fringe,N
KELLER ISD,220907,B,Major Suburban,11,City-Large,N
KELTON ISD,242905,H,Rural,43,Rural-Remote,N
KEMP ISD,129904,D,Other Central City Suburban,42,Rural-Distant,N
KENEDY COUNTY WIDE CSD,131001,H,Rural,43,Rural-Remote,N
KENEDY ISD,128902,H,Rural,41,Rural-Fringe,N
KENNARD ISD,113906,H,Rural,43,Rural-Remote,N
KENNEDALE ISD,220914,B,Major Suburban,21,Suburb-Large,N
KERENS ISD,175907,H,Rural,43,Rural-Remote,N
KERMIT ISD,248901,D,Other Central City Suburban,32,Town-Distant,N
KERRVILLE ISD,133903,E,Independent Town,33,Town-Remote,N
KI CHARTER ACADEMY,105803,I,Charter School Districts,13,City-Small,Y
KILGORE ISD,092902,D,Other Central City Suburban,31,Town-Fringe,N
KILLEEN ISD,014906,C,Other Central City,12,City-Midsize,N
KINGSVILLE ISD,137901,E,Independent Town,32,Town-Distant,N
KIPP TEXAS PUBLIC SCHOOLS,227820,I,Charter School Districts,11,City-Large,Y
KIRBYVILLE CISD,121905,G,Non-metropolitan Stable,43,Rural-Remote,N
KLEIN ISD,101915,B,Major Suburban,21,Suburb-Large,N
KLONDIKE ISD,058905,H,Rural,43,Rural-Remote,N
KNIPPA ISD,232901,H,Rural,42,Rural-Distant,N
KNOX CITY-O'BRIEN CISD,138902,H,Rural,43,Rural-Remote,N
KOPPERL ISD,018907,H,Rural,43,Rural-Remote,N
KOUNTZE ISD,100903,G,Non-metropolitan Stable,42,Rural-Distant,N
KRESS ISD,219905,H,Rural,42,Rural-Distant,N
KRUM ISD,061905,D,Other Central City Suburban,31,Town-Fringe,N
LA ACADEMIA DE ESTRELLAS,057839,I,Charter School Districts,11,City-Large,Y
LA FE PREPARATORY SCHOOL,071807,I,Charter School Districts,11,City-Large,Y
LA FERIA ISD,031905,G,Non-metropolitan Stable,22,Suburb-Midsize,N
LA GLORIA ISD,125906,H,Rural,42,Rural-Distant,N
LA GRANGE ISD,075902,E,Independent Town,33,Town-Remote,N
LA JOYA ISD,108912,C,Other Central City,21,Suburb-Large,N
LA PORTE ISD,101916,B,Major Suburban,21,Suburb-Large,N
LA PRYOR ISD,254902,H,Rural,43,Rural-Remote,N
LA VEGA ISD,161906,D,Other Central City Suburban,22,Suburb-Midsize,N
LA VERNIA ISD,247903,E,Independent Town,42,Rural-Distant,N
LA VILLA ISD,108914,H,Rural,21,Suburb-Large,N
LACKLAND ISD,015913,F,Non-metropolitan Fast Growing,21,Suburb-Large,N
LAGO VISTA ISD,227912,G,Non-metropolitan Stable,31,Town-Fringe,N
LAKE DALLAS ISD,061912,D,Other Central City Suburban,21,Suburb-Large,N
LAKE GRANBURY ACADEMY CHARTER SCHO,111801,I,Charter School Districts,41,Rural-Fringe,Y
LAKE TRAVIS ISD,227913,B,Major Suburban,21,Suburb-Large,N
LAKE WORTH ISD,220910,B,Major Suburban,21,Suburb-Large,N
LAMAR CISD,079901,C,Other Central City,21,Suburb-Large,N
LAMESA ISD,058906,G,Non-metropolitan Stable,33,Town-Remote,N
LAMPASAS ISD,141901,D,Other Central City Suburban,41,Rural-Fringe,N
LANCASTER ISD,057913,B,Major Suburban,21,Suburb-Large,N
LANEVILLE ISD,201903,H,Rural,42,Rural-Distant,N
LAPOYNOR ISD,107910,H,Rural,42,Rural-Distant,N
LAREDO ISD,240901,D,Other Central City Suburban,11,City-Large,N
LASARA ISD,245901,H,Rural,42,Rural-Distant,N
LATEXO ISD,113905,H,Rural,42,Rural-Distant,N
LAZBUDDIE ISD,185904,H,Rural,43,Rural-Remote,N
LEADERSHIP PREP SCHOOL,061804,I,Charter School Districts,21,Suburb-Large,Y
LEAKEY ISD,193902,H,Rural,43,Rural-Remote,N
LEANDER ISD,246913,B,Major Suburban,21,Suburb-Large,N
LEARY ISD,019914,H,Rural,41,Rural-Fringe,N
LEFORS ISD,090902,H,Rural,42,Rural-Distant,N
LEGACY PREPARATORY,057846,I,Charter School Districts,21,Suburb-Large,Y
LEGACY SCHOOL OF SPORT SCIENCES,101874,I,Charter School Districts,21,Suburb-Large,Y
LEGGETT ISD,187906,H,Rural,42,Rural-Distant,N
LEON ISD,145911,H,Rural,43,Rural-Remote,N
LEONARD ISD,074909,H,Rural,42,Rural-Distant,N
LEVELLAND ISD,110902,G,Non-metropolitan Stable,32,Town-Distant,N
LEVERETTS CHAPEL ISD,201904,H,Rural,42,Rural-Distant,N
LEWISVILLE ISD,061902,B,Major Suburban,21,Suburb-Large,N
LEXINGTON ISD,144902,G,Non-metropolitan Stable,43,Rural-Remote,N
LIBERTY HILL ISD,246908,D,Other Central City Suburban,41,Rural-Fringe,N
LIBERTY ISD,146906,G,Non-metropolitan Stable,32,Town-Distant,N
LIBERTY-EYLAU ISD,019908,G,Non-metropolitan Stable,13,City-Small,N
LIFE SCHOOL,057807,I,Charter School Districts,21,Suburb-Large,Y
LIGHTHOUSE CHARTER SCHOOL,015825,I,Charter School Districts,11,City-Large,Y
LINDALE ISD,212903,D,Other Central City Suburban,31,Town-Fringe,N
LINDEN-KILDARE CISD,034905,H,Rural,43,Rural-Remote,N
LINDSAY ISD,049907,H,Rural,42,Rural-Distant,N
LINGLEVILLE ISD,072909,H,Rural,42,Rural-Distant,N
LIPAN ISD,111902,F,Non-metropolitan Fast Growing,43,Rural-Remote,N
LITTLE CYPRESS-MAURICEVILLE CISD,181908,E,Independent Town,22,Suburb-Midsize,N
LITTLE ELM ISD,061914,D,Other Central City Suburban,21,Suburb-Large,N
LITTLEFIELD ISD,140904,G,Non-metropolitan Stable,32,Town-Distant,N
LIVINGSTON ISD,187907,E,Independent Town,41,Rural-Fringe,N
LLANO ISD,150901,G,Non-metropolitan Stable,41,Rural-Fringe,N
LOCKHART ISD,028902,D,Other Central City Suburban,31,Town-Fringe,N
LOCKNEY ISD,077902,H,Rural,43,Rural-Remote,N
LOHN ISD,160905,H,Rural,43,Rural-Remote,N
LOMETA ISD,141902,F,Non-metropolitan Fast Growing,43,Rural-Remote,N
LONDON ISD,178906,D,Other Central City Suburban,41,Rural-Fringe,N
LONE OAK ISD,116906,G,Non-metropolitan Stable,42,Rural-Distant,N
LONE STAR LANGUAGE ACADEMY,043802,I,Charter School Districts,11,City-Large,Y
LONGVIEW ISD,092903,C,Other Central City,13,City-Small,N
LOOP ISD,083902,H,Rural,43,Rural-Remote,N
LORAINE ISD,168902,H,Rural,42,Rural-Distant,N
LORENA ISD,161907,G,Non-metropolitan Stable,41,Rural-Fringe,N
LORENZO ISD,054902,H,Rural,42,Rural-Distant,N
LOS FRESNOS CISD,031906,D,Other Central City Suburban,22,Suburb-Midsize,N
LOUISE ISD,241906,H,Rural,42,Rural-Distant,N
LOVEJOY ISD,043919,G,Non-metropolitan Stable,21,Suburb-Large,N
LOVELADY ISD,113903,H,Rural,43,Rural-Remote,N
LUBBOCK ISD,152901,C,Other Central City,11,City-Large,N
LUBBOCK-COOPER ISD,152906,D,Other Central City Suburban,41,Rural-Fringe,N
LUEDERS-AVOCA ISD,127905,H,Rural,42,Rural-Distant,N
LUFKIN ISD,003903,E,Independent Town,33,Town-Remote,N
LULING ISD,028903,E,Independent Town,32,Town-Distant,N
LUMBERTON ISD,100907,D,Other Central City Suburban,22,Suburb-Midsize,N
LUMIN EDUCATION,057805,I,Charter School Districts,11,City-Large,Y
LYFORD CISD,245902,G,Non-metropolitan Stable,32,Town-Distant,N
LYTLE ISD,007904,G,Non-metropolitan Stable,31,Town-Fringe,N
MABANK ISD,129905,D,Other Central City Suburban,32,Town-Distant,N
MADISONVILLE CISD,154901,G,Non-metropolitan Stable,32,Town-Distant,N
MAGNOLIA ISD,170906,D,Other Central City Suburban,41,Rural-Fringe,N
MALAKOFF ISD,107906,G,Non-metropolitan Stable,33,Town-Remote,N
MALONE ISD,109908,H,Rural,42,Rural-Distant,N
MALTA ISD,019910,H,Rural,42,Rural-Distant,N
MANARA ACADEMY,057844,I,Charter School Districts,12,City-Midsize,Y
MANOR ISD,227907,B,Major Suburban,41,Rural-Fringe,N
MANSFIELD ISD,220908,B,Major Suburban,21,Suburb-Large,N
MARATHON ISD,022902,H,Rural,43,Rural-Remote,N
MARBLE FALLS ISD,027904,E,Independent Town,32,Town-Distant,N
MARFA ISD,189901,H,Rural,43,Rural-Remote,N
MARION ISD,094904,D,Other Central City Suburban,21,Suburb-Large,N
MARLIN ISD,073903,G,Non-metropolitan Stable,32,Town-Distant,N
MARSHALL ISD,102902,E,Independent Town,32,Town-Distant,N
MART ISD,161908,H,Rural,42,Rural-Distant,N
MARTINS MILL ISD,234905,H,Rural,42,Rural-Distant,N
MARTINSVILLE ISD,174909,H,Rural,43,Rural-Remote,N
