District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N)
MCLEAN ISD,090903,H,Rural,43,Rural-Remote,N
MCLEOD ISD,034906,H,Rural,42,Rural-Distant,N
MCMULLEN COUNTY ISD,162904,H,Rural,43,Rural-Remote,N
MEADOW ISD,223902,H,Rural,42,Rural-Distant,N
MEADOWLAND CHARTER DISTRICT,130801,I,Charter School Districts,41,Rural-Fringe,Y
MEDINA ISD,010901,H,Rural,43,Rural-Remote,N
MEDINA VALLEY ISD,163908,B,Major Suburban,41,Rural-Fringe,N
MELISSA ISD,043908,F,Non-metropolitan Fast Growing,22,Suburb-Midsize,N
MEMPHIS ISD,096904,H,Rural,43,Rural-Remote,N
MENARD ISD,164901,H,Rural,43,Rural-Remote,N
MERCEDES ISD,108907,G,Non-metropolitan Stable,21,Suburb-Large,N
MERIDIAN ISD,018902,H,Rural,43,Rural-Remote,N
MERIDIAN WORLD SCHOOL LLC,246801,I,Charter School Districts,12,City-Midsize,Y
MERKEL ISD,221904,D,Other Central City Suburban,42,Rural-Distant,N
MESQUITE ISD,057914,B,Major Suburban,21,Suburb-Large,N
MEXIA ISD,147903,G,Non-metropolitan Stable,33,Town-Remote,N
MEYERPARK ELEMENTARY,101855,I,Charter School Districts,11,City-Large,Y
MEYERSVILLE ISD,062906,H,Rural,42,Rural-Distant,N
MIAMI ISD,197902,H,Rural,43,Rural-Remote,N
MIDLAND ACADEMY CHARTER SCHOOL,165802,I,Charter School Districts,12,City-Midsize,Y
MIDLAND ISD,165901,C,Other Central City,12,City-Midsize,N
MIDLOTHIAN ISD,070908,C,Other Central City,21,Suburb-Large,N
MIDWAY ISD,039905,H,Rural,42,Rural-Distant,N
MIDWAY ISD,161903,D,Other Central City Suburban,22,Suburb-Midsize,N
MILANO ISD,166903,H,Rural,42,Rural-Distant,N
MILDRED ISD,175910,E,Independent Town,42,Rural-Distant,N
MILES ISD,200902,H,Rural,42,Rural-Distant,N
MILFORD ISD,070909,H,Rural,42,Rural-Distant,N
MILLER GROVE ISD,112907,F,Non-metropolitan Fast Growing,43,Rural-Remote,N
MILLSAP ISD,184904,D,Other Central City Suburban,42,Rural-Distant,N
MINEOLA ISD,250903,E,Independent Town,32,Town-Distant,N
MINERAL WELLS ISD,182903,E,Independent Town,32,Town-Distant,N
MISSION CISD,108908,D,Other Central City Suburban,13,City-Small,N
MONAHANS-WICKETT-PYOTE ISD,238902,D,Other Central City Suburban,32,Town-Distant,N
MONTAGUE ISD,169908,H,Rural,42,Rural-Distant,N
MONTE ALTO ISD,108915,G,Non-metropolitan Stable,41,Rural-Fringe,N
MONTESSORI FOR ALL,227826,I,Charter School Districts,11,City-Large,Y
MONTGOMERY ISD,170903,D,Other Central City Suburban,41,Rural-Fringe,N
MOODY ISD,161910,H,Rural,42,Rural-Distant,N
MORAN ISD,209902,H,Rural,43,Rural-Remote,N
MORGAN ISD,018903,H,Rural,43,Rural-Remote,N
MORGAN MILL ISD,072910,H,Rural,43,Rural-Remote,N
MORTON ISD,040901,H,Rural,43,Rural-Remote,N
MOTLEY COUNTY ISD,173901,H,Rural,43,Rural-Remote,N
MOULTON ISD,143902,H,Rural,43,Rural-Remote,N
MOUNT CALM ISD,109910,H,Rural,42,Rural-Distant,N
MOUNT ENTERPRISE ISD,201907,H,Rural,43,Rural-Remote,N
MOUNT PLEASANT ISD,225902,E,Independent Town,33,Town-Remote,N
MOUNT VERNON ISD,080901,G,Non-metropolitan Stable,33,Town-Remote,N
MUENSTER ISD,049902,H,Rural,43,Rural-Remote,N
MULESHOE ISD,009901,G,Non-metropolitan Stable,33,Town-Remote,N
MULLIN ISD,167902,H,Rural,33,Town-Remote,N
MUMFORD ISD,198906,H,Rural,42,Rural-Distant,N
MUNDAY CISD,138903,H,Rural,43,Rural-Remote,N
MURCHISON ISD,107908,H,Rural,42,Rural-Distant,N
NACOGDOCHES ISD,174904,E,Independent Town,33,Town-Remote,N
NATALIA ISD,163903,G,Non-metropolitan Stable,41,Rural-Fringe,N
NAVARRO ISD,094903,D,Other Central City Suburban,41,Rural-Fringe,N
NAVASOTA ISD,093904,D,Other Central City Suburban,32,Town-Distant,N
NAZARETH ISD,035903,H,Rural,43,Rural-Remote,N
NECHES ISD,001906,H,Rural,42,Rural-Distant,N
NEDERLAND ISD,123905,D,Other Central City Suburban,22,Suburb-Midsize,N
NEEDVILLE ISD,079906,D,Other Central City Suburban,41,Rural-Fringe,N
NEW BOSTON ISD,019905,G,Non-metropolitan Stable,32,Town-Distant,N
NEW BRAUNFELS ISD,046901,C,Other Central City,13,City-Small,N
NEW CANEY ISD,170908,D,Other Central City Suburban,21,Suburb-Large,N
NEW DEAL ISD,152902,H,Rural,41,Rural-Fringe,N
NEW DIANA ISD,230906,D,Other Central City Suburban,42,Rural-Distant,N
NEW FRONTIERS PUBLIC SCHOOLS INC,015805,I,Charter School Districts,11,City-Large,Y
NEW HOME ISD,153905,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
NEW SUMMERFIELD ISD,037908,H,Rural,42,Rural-Distant,N
NEW WAVERLY ISD,236901,G,Non-metropolitan Stable,41,Rural-Fringe,N
NEWCASTLE ISD,252902,H,Rural,42,Rural-Distant,N
NEWMAN INTERNATIONAL ACADEMY OF AR,220817,I,Charter School Districts,11,City-Large,Y
NEWTON ISD,176902,G,Non-metropolitan Stable,43,Rural-Remote,N
NIXON-SMILEY CISD,089903,G,Non-metropolitan Stable,43,Rural-Remote,N
NOCONA ISD,169902,H,Rural,33,Town-Remote,N
NORDHEIM ISD,062902,H,Rural,43,Rural-Remote,N
NORMANGEE ISD,145906,H,Rural,43,Rural-Remote,N
NORTH EAST ISD,015910,A,Major Urban,11,City-Large,N
NORTH HOPKINS ISD,112906,H,Rural,42,Rural-Distant,N
NORTH LAMAR ISD,139911,G,Non-metropolitan Stable,41,Rural-Fringe,N
NORTH TEXAS COLLEGIATE ACADEMY,061802,I,Charter School Districts,21,Suburb-Large,Y
NORTH ZULCH ISD,154903,H,Rural,42,Rural-Distant,N
NORTHSIDE ISD,015915,A,Major Urban,11,City-Large,N
NORTHSIDE ISD,244905,H,Rural,42,Rural-Distant,N
NORTHWEST ISD,061911,D,Other Central City Suburban,41,Rural-Fringe,N
NOVA ACADEMY,057809,I,Charter School Districts,11,City-Large,Y
NOVA ACADEMY SOUTHEAST,057827,I,Charter School Districts,11,City-Large,Y
NUECES CANYON CISD,069902,H,Rural,43,Rural-Remote,N
NURSERY ISD,235904,H,Rural,41,Rural-Fringe,N
NYOS CHARTER SCHOOL,227804,I,Charter School Districts,11,City-Large,Y
O'DONNELL ISD,153903,H,Rural,43,Rural-Remote,N
OAKWOOD ISD,145907,H,Rural,43,Rural-Remote,N
ODEM-EDROY ISD,205905,H,Rural,31,Town-Fringe,N
ODYSSEY ACADEMY INC,084802,I,Charter School Districts,31,Town-Fringe,Y
OGLESBY ISD,050904,H,Rural,42,Rural-Distant,N
OLFEN ISD,200906,H,Rural,42,Rural-Distant,N
OLNEY ISD,252903,H,Rural,32,Town-Distant,N
OLTON ISD,140905,H,Rural,43,Rural-Remote,N
ONALASKA ISD,187910,F,Non-metropolitan Fast Growing,32,Town-Distant,N
ORANGE GROVE ISD,125903,G,Non-metropolitan Stable,42,Rural-Distant,N
ORANGEFIELD ISD,181905,D,Other Central City Suburban,41,Rural-Fringe,N
ORE CITY ISD,230903,G,Non-metropolitan Stable,42,Rural-Distant,N
ORENDA CHARTER SCHOOL,014804,I,Charter School Districts,41,Rural-Fringe,Y
OVERTON ISD,201908,H,Rural,42,Rural-Distant,N
PADUCAH ISD,051901,H,Rural,43,Rural-Remote,N
PAINT CREEK ISD,104907,H,Rural,42,Rural-Distant,N
PAINT ROCK ISD,048903,H,Rural,43,Rural-Remote,N
PALACIOS ISD,158905,G,Non-metropolitan Stable,33,Town-Remote,N
PALESTINE ISD,001907,E,Independent Town,32,Town-Distant,N
PALMER ISD,070910,D,Other Central City Suburban,41,Rural-Fringe,N
PALO PINTO ISD,182906,H,Rural,42,Rural-Distant,N
PAMPA ISD,090904,G,Non-metropolitan Stable,33,Town-Remote,N
PANHANDLE ISD,033902,H,Rural,42,Rural-Distant,N
PANOLA CHARTER SCHOOL,183801,I,Charter School Districts,32,Town-Distant,Y
PANTHER CREEK CISD,042905,H,Rural,43,Rural-Remote,N
PARADISE ISD,249906,G,Non-metropolitan Stable,42,Rural-Distant,N
PARIS ISD,139909,E,Independent Town,33,Town-Remote,N
PASADENA ISD,101917,B,Major Suburban,21,Suburb-Large,N
PATTON SPRINGS ISD,063906,H,Rural,43,Rural-Remote,N
PAWNEE ISD,013902,F,Non-metropolitan Fast Growing,43,Rural-Remote,N
PEARLAND ISD,020908,B,Major Suburban,21,Suburb-Large,N
PEARSALL ISD,082903,G,Non-metropolitan Stable,33,Town-Remote,N
PEASTER ISD,184908,D,Other Central City Suburban,42,Rural-Distant,N
PECOS-BARSTOW-TOYAH ISD,195901,G,Non-metropolitan Stable,33,Town-Remote,N
PEGASUS SCHOOL OF LIBERAL ARTS AND,057802,I,Charter School Districts,11,City-Large,Y
PENELOPE ISD,109914,H,Rural,42,Rural-Distant,N
PERRIN-WHITT CISD,119903,H,Rural,43,Rural-Remote,N
PERRYTON ISD,179901,G,Non-metropolitan Stable,33,Town-Remote,N
PETERSBURG ISD,095904,H,Rural,42,Rural-Distant,N
PETROLIA CISD,039903,H,Rural,42,Rural-Distant,N
PETTUS ISD,013903,H,Rural,42,Rural-Distant,N
PEWITT CISD,172905,H,Rural,42,Rural-Distant,N
PFLUGERVILLE ISD,227904,B,Major Suburban,21,Suburb-Large,N
PHARR-SAN JUAN-ALAMO ISD,108909,C,Other Central City,21,Suburb-Large,N
PILOT POINT ISD,061903,D,Other Central City Suburban,31,Town-Fringe,N
PINE TREE ISD,092904,D,Other Central City Suburban,13,City-Small,N
PINEYWOODS COMMUNITY ACADEMY,003801,I,Charter School Districts,33,Town-Remote,Y
PIONEER TECHNOLOGY & ARTS ACADEMY,057850,I,Charter School Districts,21,Suburb-Large,Y
PITTSBURG ISD,032902,G,Non-metropolitan Stable,32,Town-Distant,N
PLAINS ISD,251902,H,Rural,43,Rural-Remote,N
PLAINVIEW ISD,095905,E,Independent Town,33,Town-Remote,N
PLANO ISD,043910,B,Major Suburban,11,City-Large,N
PLEASANT GROVE ISD,019912,G,Non-metropolitan Stable,13,City-Small,N
PLEASANTON ISD,007905,E,Independent Town,32,Town-Distant,N
PLEMONS-STINNETT-PHILLIPS CISD,117904,H,Rural,42,Rural-Distant,N
POINT ISABEL ISD,031909,D,Other Central City Suburban,32,Town-Distant,N
PONDER ISD,061906,D,Other Central City Suburban,42,Rural-Distant,N
POOLVILLE ISD,184901,H,Rural,42,Rural-Distant,N
POR VIDA ACADEMY,015801,I,Charter School Districts,11,City-Large,Y
PORT ARANSAS ISD,178908,H,Rural,42,Rural-Distant,N
PORT ARTHUR ISD,123907,D,Other Central City Suburban,13,City-Small,N
PORT NECHES-GROVES ISD,123908,D,Other Central City Suburban,22,Suburb-Midsize,N
POSITIVE SOLUTIONS CHARTER SCHOOL,015814,I,Charter School Districts,11,City-Large,Y
POST ISD,085902,H,Rural,32,Town-Distant,N
POTEET ISD,007906,G,Non-metropolitan Stable,32,Town-Distant,N
POTH ISD,247904,H,Rural,42,Rural-Distant,N
POTTSBORO ISD,091913,D,Other Central City Suburban,23,Suburb-Small,N
PRAIRIE LEA ISD,028906,H,Rural,42,Rural-Distant,N
PRAIRIE VALLEY ISD,169909,H,Rural,42,Rural-Distant,N
PRAIRILAND ISD,139912,G,Non-metropolitan Stable,42,Rural-Distant,N
PREMIER HIGH SCHOOLS,072801,I,Charter School Districts,11,City-Large,Y
PREMONT ISD,125905,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N
PRESIDIO ISD,189902,G,Non-metropolitan Stable,33,Town-Remote,N
PRIDDY ISD,167904,H,Rural,43,Rural-Remote,N
PRINCETON ISD,043911,F,Non-metropolitan Fast Growing,22,Suburb-Midsize,N
PRINGLE-MORSE CISD,098903,H,Rural,43,Rural-Remote,N
PRIORITY CHARTER SCHOOLS,014803,I,Charter School Districts,22,Suburb-Midsize,Y
PROGRESO ISD,108910,G,Non-metropolitan Stable,21,Suburb-Large,N
PROMESA ACADEMY CHARTER SCHOOL,015839,N/A,N/A,11,City-Large,Y
PROMESA PUBLIC SCHOOLS,227824,I,Charter School Districts,11,City-Large,Y
PROMISE COMMUNITY SCHOOL,101853,I,Charter School Districts,11,City-Large,Y
PROSPER ISD,043912,D,Other Central City Suburban,41,Rural-Fringe,N
QUANAH ISD,099903,H,Rural,43,Rural-Remote,N
QUEEN CITY ISD,034907,G,Non-metropolitan Stable,32,Town-Distant,N
QUINLAN ISD,116908,D,Other Central City Suburban,41,Rural-Fringe,N
QUITMAN ISD,250904,E,Independent Town,32,Town-Distant,N
RAINS ISD,190903,G,Non-metropolitan Stable,42,Rural-Distant,N
RALLS ISD,054903,H,Rural,42,Rural-Distant,N
RAMIREZ CSD,066005,H,Rural,43,Rural-Remote,N
RANCH ACADEMY,234801,I,Charter School Districts,42,Rural-Distant,Y
RANDOLPH FIELD ISD,015906,G,Non-metropolitan Stable,41,Rural-Fringe,N
RANGER ISD,067907,H,Rural,43,Rural-Remote,N
RANKIN ISD,231902,H,Rural,43,Rural-Remote,N
RAPOPORT ACADEMY PUBLIC SCHOOL,161802,I,Charter School Districts,12,City-Midsize,Y
RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,101806,I,Charter School Districts,11,City-Large,Y
RAVEN SCHOOL,236801,I,Charter School Districts,42,Rural-Distant,Y
RAYMONDVILLE ISD,245903,D,Other Central City Suburban,32,Town-Distant,N
REAGAN COUNTY ISD,192901,D,Other Central City Suburban,33,Town-Remote,N
RED LICK ISD,019911,H,Rural,23,Suburb-Small,N
RED OAK ISD,070911,D,Other Central City Suburban,21,Suburb-Large,N
REDWATER ISD,019906,G,Non-metropolitan Stable,42,Rural-Distant,N
REFUGIO ISD,196903,H,Rural,32,Town-Distant,N
REVE PREPARATORY CHARTER SCHOOL,101876,I,Charter School Districts,11,City-Large,Y
RICARDO ISD,137902,H,Rural,42,Rural-Distant,N
RICE CISD,045903,G,Non-metropolitan Stable,42,Rural-Distant,N
RICE ISD,175911,D,Other Central City Suburban,42,Rural-Distant,N
RICHARD MILBURN ALTER HIGH SCHOOL,014801,I,Charter School Districts,12,City-Midsize,Y
RICHARDS ISD,093905,H,Rural,42,Rural-Distant,N
RICHARDSON ISD,057916,B,Major Suburban,11,City-Large,N
RICHLAND COLLEGIATE HIGH SCHOOL,057840,I,Charter School Districts,11,City-Large,Y
RICHLAND SPRINGS ISD,206902,H,Rural,43,Rural-Remote,N
RIESEL ISD,161912,H,Rural,42,Rural-Distant,N
RIO GRANDE CITY CISD,214901,D,Other Central City Suburban,41,Rural-Fringe,N
RIO HONDO ISD,031911,G,Non-metropolitan Stable,41,Rural-Fringe,N
RIO VISTA ISD,126907,H,Rural,42,Rural-Distant,N
RISE ACADEMY,152802,I,Charter School Districts,11,City-Large,Y
RISING STAR ISD,067908,H,Rural,43,Rural-Remote,N
RIVER ROAD ISD,188902,D,Other Central City Suburban,22,Suburb-Midsize,N
RIVERCREST ISD,194903,H,Rural,43,Rural-Remote,N
RIVIERA ISD,137903,H,Rural,43,Rural-Remote,N
ROBERT LEE ISD,041902,H,Rural,42,Rural-Distant,N
ROBINSON ISD,161922,D,Other Central City Suburban,22,Suburb-Midsize,N
ROBSTOWN ISD,178909,G,Non-metropolitan Stable,31,Town-Fringe,N
ROBY CISD,076903,H,Rural,43,Rural-Remote,N
ROCHELLE ISD,160904,H,Rural,42,Rural-Distant,N
ROCKDALE ISD,166904,E,Independent Town,32,Town-Distant,N
ROCKSPRINGS ISD,069901,H,Rural,43,Rural-Remote,N
ROCKWALL ISD,199901,C,Other Central City,21,Suburb-Large,N
ROGERS ISD,014907,H,Rural,42,Rural-Distant,N
ROMA ISD,214903,E,Independent Town,41,Rural-Fringe,N
ROOSEVELT ISD,152908,D,Other Central City Suburban,42,Rural-Distant,N
ROPES ISD,110905,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
ROSCOE COLLEGIATE ISD,177901,H,Rural,42,Rural-Distant,N
ROSEBUD-LOTT ISD,073905,H,Rural,42,Rural-Distant,N
ROTAN ISD,076904,H,Rural,43,Rural-Remote,N
ROUND ROCK ISD,246909,B,Major Suburban,12,City-Midsize,N
ROUND TOP-CARMINE ISD,075908,H,Rural,43,Rural-Remote,N
ROYAL ISD,237905,D,Other Central City Suburban,41,Rural-Fringe,N
ROYSE CITY ISD,199902,D,Other Central City Suburban,41,Rural-Fringe,N
RULE ISD,104903,H,Rural,42,Rural-Distant,N
RUNGE ISD,128903,H,Rural,42,Rural-Distant,N
RUSK ISD,037907,G,Non-metropolitan Stable,41,Rural-Fringe,N
S AND S CISD,091914,D,Other Central City Suburban,41,Rural-Fringe,N
SABINAL ISD,232902,H,Rural,43,Rural-Remote,N
SABINE ISD,092906,D,Other Central City Suburban,41,Rural-Fringe,N
SABINE PASS ISD,123913,H,Rural,42,Rural-Distant,N
SAINT JO ISD,169911,F,Non-metropolitan Fast Growing,43,Rural-Remote,N
SALADO ISD,014908,D,Other Central City Suburban,42,Rural-Distant,N
SALTILLO ISD,112909,H,Rural,42,Rural-Distant,N
SAM HOUSTON STATE UNIVERSITY CHART,236802,I,Charter School Districts,21,Suburb-Large,Y
SAM RAYBURN ISD,074917,H,Rural,42,Rural-Distant,N
SAN ANGELO ISD,226903,C,Other Central City,12,City-Midsize,N
SAN ANTONIO ISD,015907,A,Major Urban,11,City-Large,N
SAN ANTONIO PREPARATORY CHARTER SC,015840,N/A,N/A,21,Suburb-Large,Y
SAN AUGUSTINE ISD,203901,H,Rural,43,Rural-Remote,N
SAN BENITO CISD,031912,D,Other Central City Suburban,22,Suburb-Midsize,N
SAN DIEGO ISD,066902,G,Non-metropolitan Stable,32,Town-Distant,N
SAN ELIZARIO ISD,071904,B,Major Suburban,21,Suburb-Large,N
SAN FELIPE-DEL RIO CISD,233901,E,Independent Town,33,Town-Remote,N
SAN ISIDRO ISD,214902,H,Rural,42,Rural-Distant,N
SAN MARCOS CISD,105902,C,Other Central City,13,City-Small,N
SAN PERLITA ISD,245904,H,Rural,42,Rural-Distant,N
SAN SABA ISD,206901,H,Rural,33,Town-Remote,N
SAN VICENTE ISD,022903,H,Rural,43,Rural-Remote,N
SANDS CISD,058909,H,Rural,43,Rural-Remote,N
SANFORD-FRITCH ISD,117903,H,Rural,32,Town-Distant,N
SANGER ISD,061908,D,Other Central City Suburban,41,Rural-Fringe,N
SANTA ANNA ISD,042903,H,Rural,42,Rural-Distant,N
SANTA FE ISD,084909,D,Other Central City Suburban,22,Suburb-Midsize,N
SANTA GERTRUDIS ISD,137904,F,Non-metropolitan Fast Growing,32,Town-Distant,N
SANTA MARIA ISD,031913,H,Rural,41,Rural-Fringe,N
SANTA ROSA ISD,031914,G,Non-metropolitan Stable,22,Suburb-Midsize,N
SANTO ISD,182904,H,Rural,43,Rural-Remote,N
SAVOY ISD,074911,H,Rural,42,Rural-Distant,N
SCHERTZ-CIBOLO-U CITY ISD,094902,C,Other Central City,21,Suburb-Large,N
SCHLEICHER ISD,207901,H,Rural,43,Rural-Remote,N
SCHOOL OF EXCELLENCE IN EDUCATION,015806,I,Charter School Districts,11,City-Large,Y
SCHOOL OF SCIENCE AND TECHNOLOGY,015827,I,Charter School Districts,11,City-Large,Y
SCHOOL OF SCIENCE AND TECHNOLOGY D,015831,I,Charter School Districts,21,Suburb-Large,Y
SCHULENBURG ISD,075903,H,Rural,33,Town-Remote,N
SCURRY-ROSSER ISD,129910,D,Other Central City Suburban,42,Rural-Distant,N
SEAGRAVES ISD,083901,H,Rural,43,Rural-Remote,N
SEALY ISD,008902,D,Other Central City Suburban,41,Rural-Fringe,N
SEASHORE CHARTER SCHOOLS,178808,I,Charter School Districts,11,City-Large,Y
SEGUIN ISD,094901,D,Other Central City Suburban,31,Town-Fringe,N
SEMINOLE ISD,083903,G,Non-metropolitan Stable,33,Town-Remote,N
SER-NINOS CHARTER SCHOOL,101802,I,Charter School Districts,11,City-Large,Y
SEYMOUR ISD,012901,H,Rural,43,Rural-Remote,N
SHALLOWATER ISD,152909,D,Other Central City Suburban,31,Town-Fringe,N
SHAMROCK ISD,242902,H,Rural,43,Rural-Remote,N
SHARYLAND ISD,108911,D,Other Central City Suburban,13,City-Small,N
SHELBYVILLE ISD,210903,H,Rural,42,Rural-Distant,N
SHELDON ISD,101924,B,Major Suburban,21,Suburb-Large,N
SHEPHERD ISD,204904,E,Independent Town,42,Rural-Distant,N
SHERMAN ISD,091906,C,Other Central City,13,City-Small,N
SHINER ISD,143903,H,Rural,42,Rural-Distant,N
SIDNEY ISD,047905,H,Rural,42,Rural-Distant,N
SIERRA BLANCA ISD,115902,H,Rural,43,Rural-Remote,N
SILSBEE ISD,100904,E,Independent Town,31,Town-Fringe,N
SILVERTON ISD,023902,H,Rural,43,Rural-Remote,N
SIMMS ISD,019909,H,Rural,42,Rural-Distant,N
SINTON ISD,205906,E,Independent Town,32,Town-Distant,N
SIVELLS BEND ISD,049909,H,Rural,43,Rural-Remote,N
SKIDMORE-TYNAN ISD,013905,H,Rural,42,Rural-Distant,N
SLATON ISD,152903,G,Non-metropolitan Stable,31,Town-Fringe,N
SLIDELL ISD,249908,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
SLOCUM ISD,001909,H,Rural,43,Rural-Remote,N
SMITHVILLE ISD,011904,G,Non-metropolitan Stable,41,Rural-Fringe,N
SMYER ISD,110906,H,Rural,42,Rural-Distant,N
SNOOK ISD,026903,H,Rural,42,Rural-Distant,N
SNYDER ISD,208902,G,Non-metropolitan Stable,33,Town-Remote,N
SOCORRO ISD,071909,A,Major Urban,11,City-Large,N
SOMERSET ISD,015909,G,Non-metropolitan Stable,41,Rural-Fringe,N
SOMERVILLE ISD,026902,H,Rural,42,Rural-Distant,N
SONORA ISD,218901,H,Rural,33,Town-Remote,N
SOUTH SAN ANTONIO ISD,015908,B,Major Suburban,11,City-Large,N
SOUTH TEXAS ISD,031916,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N
SOUTHLAND ISD,085903,H,Rural,42,Rural-Distant,N
SOUTHSIDE ISD,015917,B,Major Suburban,41,Rural-Fringe,N
SOUTHWEST ISD,015912,B,Major Suburban,41,Rural-Fringe,N
SOUTHWEST PREPARATORY SCHOOL,015807,I,Charter School Districts,11,City-Large,Y
SOUTHWEST SCHOOL,101838,I,Charter School Districts,11,City-Large,Y
SPEARMAN ISD,098904,H,Rural,33,Town-Remote,N
SPLENDORA ISD,170907,D,Other Central City Suburban,41,Rural-Fringe,N
SPRING BRANCH ISD,101920,B,Major Suburban,11,City-Large,N
SPRING CREEK ISD,117907,H,Rural,42,Rural-Distant,N
SPRING HILL ISD,092907,D,Other Central City Suburban,13,City-Small,N
SPRING ISD,101919,B,Major Suburban,21,Suburb-Large,N
SPRINGLAKE-EARTH ISD,140907,H,Rural,43,Rural-Remote,N
SPRINGTOWN ISD,184902,D,Other Central City Suburban,31,Town-Fringe,N
SPUR ISD,063903,H,Rural,43,Rural-Remote,N
SPURGER ISD,229905,H,Rural,43,Rural-Remote,N
ST ANTHONY SCHOOL,057836,I,Charter School Districts,11,City-Large,Y
ST MARY'S ACADEMY CHARTER SCHOOL,013801,I,Charter School Districts,32,Town-Distant,Y
STAFFORD MSD,079910,B,Major Suburban,21,Suburb-Large,N
STAMFORD ISD,127906,H,Rural,32,Town-Distant,N
STANTON ISD,156902,D,Other Central City Suburban,42,Rural-Distant,N
STEP CHARTER SCHOOL,101859,I,Charter School Districts,11,City-Large,Y
STEPHEN F AUSTIN STATE UNIVERSITY,174801,I,Charter School Districts,33,Town-Remote,Y
STEPHENVILLE ISD,072903,E,Independent Town,33,Town-Remote,N
STERLING CITY ISD,216901,H,Rural,43,Rural-Remote,N
STOCKDALE ISD,247906,H,Rural,42,Rural-Distant,N
STRATFORD ISD,211902,H,Rural,43,Rural-Remote,N
STRAWN ISD,182905,H,Rural,43,Rural-Remote,N
SUDAN ISD,140908,H,Rural,43,Rural-Remote,N
SULPHUR BLUFF ISD,112910,H,Rural,43,Rural-Remote,N
SULPHUR SPRINGS ISD,112901,E,Independent Town,33,Town-Remote,N
SUNDOWN ISD,110907,H,Rural,42,Rural-Distant,N
SUNNYVALE ISD,057919,D,Other Central City Suburban,41,Rural-Fringe,N
SUNRAY ISD,171902,H,Rural,42,Rural-Distant,N
SWEENY ISD,020906,D,Other Central City Suburban,32,Town-Distant,N
SWEET HOME ISD,143905,H,Rural,42,Rural-Distant,N
SWEETWATER ISD,177902,G,Non-metropolitan Stable,32,Town-Distant,N
TAFT ISD,205907,D,Other Central City Suburban,31,Town-Fringe,N
TAHOKA ISD,153904,H,Rural,32,Town-Distant,N
TARKINGTON ISD,146907,G,Non-metropolitan Stable,42,Rural-Distant,N
TATUM ISD,201910,D,Other Central City Suburban,42,Rural-Distant,N
TAYLOR ISD,246911,D,Other Central City Suburban,31,Town-Fringe,N
TEAGUE ISD,081904,G,Non-metropolitan Stable,33,Town-Remote,N
TEKOA ACADEMY OF ACCELERATED STUDI,123803,I,Charter School Districts,13,City-Small,Y
TEMPLE ISD,014909,D,Other Central City Suburban,13,City-Small,N
TENAHA ISD,210904,H,Rural,42,Rural-Distant,N
TERLINGUA CSD,022004,H,Rural,43,Rural-Remote,N
TERRELL COUNTY ISD,222901,H,Rural,43,Rural-Remote,N
TERRELL ISD,129906,C,Other Central City,32,Town-Distant,N
TEXANS CAN ACADEMIES,057804,I,Charter School Districts,11,City-Large,Y
TEXARKANA ISD,019907,E,Independent Town,13,City-Small,N
TEXAS CITY ISD,084906,D,Other Central City Suburban,22,Suburb-Midsize,N
TEXAS COLLEGE PREPARATORY ACADEMIE,221801,I,Charter School Districts,21,Suburb-Large,Y
TEXAS EMPOWERMENT ACADEMY,227805,I,Charter School Districts,11,City-Large,Y
TEXAS JUVENILE JUSTICE DEPARTMENT,227622,N/A,N/A,33,Town-Remote,N
TEXAS LEADERSHIP,226801,I,Charter School Districts,12,City-Midsize,Y
TEXAS PREPARATORY SCHOOL,105802,I,Charter School Districts,13,City-Small,Y
TEXAS SCH FOR THE BLIND & VISUALLY,227905,N/A,N/A,11,City-Large,N
TEXAS SCH FOR THE DEAF,227906,N/A,N/A,11,City-Large,N
TEXAS SCHOOL OF THE ARTS,220814,I,Charter School Districts,21,Suburb-Large,Y
TEXAS SERENITY ACADEMY,170801,I,Charter School Districts,21,Suburb-Large,Y
TEXHOMA ISD,211901,H,Rural,43,Rural-Remote,N
TEXLINE ISD,056902,H,Rural,43,Rural-Remote,N
THE EXCEL CENTER (FOR ADULTS),227827,I,Charter School Districts,11,City-Large,Y
THE GATHERING PLACE,015841,N/A,N/A,11,City-Large,Y
THE LAWSON ACADEMY,101864,I,Charter School Districts,11,City-Large,Y
THE PRO-VISION ACADEMY,101868,I,Charter School Districts,11,City-Large,Y
THE RHODES SCHOOL,101861,I,Charter School Districts,21,Suburb-Large,Y
THE VARNETT PUBLIC SCHOOL,101814,I,Charter School Districts,11,City-Large,Y
THORNDALE ISD,166905,H,Rural,42,Rural-Distant,N
THRALL ISD,246912,H,Rural,42,Rural-Distant,N
THREE RIVERS ISD,149902,H,Rural,43,Rural-Remote,N
THREE WAY ISD,072901,H,Rural,42,Rural-Distant,N
THROCKMORTON COLLEGIATE ISD,224901,H,Rural,43,Rural-Remote,N
TIDEHAVEN ISD,158902,G,Non-metropolitan Stable,42,Rural-Distant,N
TIMPSON ISD,210905,H,Rural,43,Rural-Remote,N
