"","X","PC_outcome","DistName","RUC.code","Pop..2020","Change_2010.20_pct","total_poverty_percent","child_poverty_percent","Percent_college_grads_county_19","unemployment_2019","unemployment_2020","pct_state_median_HH_income","Enrollment","FreeElig_mean","RedcEligQty_mean","PaidEligQty_mean","abuse_neglect_investigations","DISTRICT.CUMULATIVE.YEAR.END.ENROLLMENT","DISTRICT.DISCIPLINE.RECORD.COUNT","X05.OUT.OF.SCHOOL.SUSPENSION","X06.IN.SCHOOL.SUSPENSION","Charter","n_students","st_pct_black","st_pct_hisp","st_pct_white","st_pct_native","st_pct_asian","st_pct_pac","st_pct_mult","st_pct_ecodis","st_pct_englishlearners","st_pct_speced","st_pct_bilingual","st_pct_careertech","st_pct_gifted","tot_staff_fte","tot_teach_fte","staff_pct_centraladmin","staff_pct_schooladmin","staff_pct_profsupport","staff_pct_teach","staff_pct_educaides","staff_pct_aux","avg_salary_central","avg_salary_school","avg_salary_prof","avg_salary_teach","staff_pct_minority","stud_teach_ratio","teach_pct_5underexp","teach_avgexp","teach_pct_advdegrees","teach_turnover_rate","teach_pct_black","teach_pct_hisp","teach_pct_white","teach_pct_native","teach_pct_asian","teach_pct_pac","teach_pct_mult","teach_pct_reged","teach_pct_speced","teach_pct_compeduc","teach_pct_esl","taxable_value_per_student_17","local_tax_rate_18","tot_operating_reevenue","rev_pct_state","rev_pct_local","rev_pct_fed","tot_other_rev","fund_balance","net_assets_charter","tot_expend_1819","tot_opexpend_per_student","exp_pct_basiced","exp_pect_speced","exp_pct_state","exp_pct_esl","exp_pct_cartecheduc","exp_pct_gifted","exp_pct_athletics","exp_pct_hsallotment","exp_pct_kinder","exp_pct_na","ani_per_stu","st_pct_minority","teach_pct_minority","st_to_teach_minority","lin_resid"
"203",203,-1.12980585271669,"CLEVELAND ISD",1,91628,21.1,14.4,19,9.7,5,10.6,83.2,1145.21428571429,2.00427849265767e-05,0,0,0,8446,0.428231247519513,0.0756713851038497,0.218944304802223,0,7559,4.6,79.2,14.3,0.4,0.2,0,1.2,90,47,8,45.7,29.4,5.1,914.8,474,1.4,2.2,7.2,51.8,8.6,28.8,116083,75811,67393,57572,40,15.9,63.5,6.7,15.9,25.6,11.2,21,65.5,0,1.1,0,1.3,64.7,9.8,2.1,16.8,180612,1.415,10054.2386559069,62.7,24.6,12.7,0,3465.15689906072,0,15449.6953300701,9123,48,6.4,9.8,2.3,3.6,0.3,1.8,0.9,1.1,25.8,0,85.6,34.6,51,-0.453662722045643
"204",204,0.384103289567993,"CLIFTON ISD",6,18235,0.1,13.7,19.7,19.8,3.4,5.5,86.2,353.5,0.000180459438677432,2.66724336793541e-05,0.000132641291810842,0,1065,0.0647058823529412,0,0.0382352941176471,0,1020,1.6,36.2,55.5,0.6,1.3,0.1,4.8,59.8,7.3,14.1,7.3,28.1,3.9,152.7,78.4,1.6,2.7,6.5,51.3,13.1,24.8,93140,74837,64410,50349,10.9,13,33.2,13.6,16.4,22.5,0,7.7,92.3,0,0,0,0,83.2,7.5,1.9,1.6,573400,1.345,12063.0088235294,30.1,58.9,11,0,3080.78333333333,0,13422.0421568627,9371,47.7,10.9,3.9,0.3,4.4,0.2,3.6,0.9,1.6,26.7,0,44.6,7.7,36.9,0.244409621983958
"205",205,-0.513315776543921,"CLINT ISD",2,865657,8.1,18.8,26.2,23.3,3.8,8.3,75.9,801.174603174603,6.37495338700436e-06,0,1.76679215545423e-08,0.00223313979455114,11957,0.16025011165699,0.0199196069673962,0.126127735596248,0,11195,0.3,95.1,3.5,0.3,0.1,0.1,0.6,86.3,39.3,10,34.6,29.4,4.5,1522.6,698.3,2.7,2.7,9,45.9,9.1,30.6,89367,85496,68378,56342,94,16,36.5,10.3,27.7,11.1,0.6,92.2,6.8,0,0.3,0,0.1,62.5,8.8,2,19.3,102927,1.407,12939.599553372,69.6,13.8,16.6,0,3822.14050915587,0,12936.5091558732,10210,37.7,9.7,14,1.6,3.5,0.2,2,1.8,0.7,28.8,0.00223313979455114,96.5,93.2,3.29999999999998,0.0801519670515961
"206",206,1.08045030069216,"CLYDE CISD",3,13708,1.2,12.1,18.7,21,3.1,5.4,79.3,0,0,0,0,0,1548,0.222298692360633,0.0289057123193393,0.167928423950447,0,1453,1.3,15.5,79.9,0.1,0.1,0,3,50.4,0.6,13.6,0.6,35.4,5,217.4,107.7,1.4,3.4,5.9,49.5,16.3,23.5,104025,72836,55998,49608,9.1,13.5,29.4,14,19,21.5,0,8.3,91.7,0,0,0,0,76.8,9.2,7,0,358061,1.4,11124.4335856848,49,42.8,8.2,0,1641.17343427392,0,10980.8389538885,9199,48.2,7.9,6.8,0.1,4.1,0.4,4,0.7,0.8,27,0,20,8.3,11.7,1.16348299752973
"207",207,-1.382339302608,"COAHOMA ISD",4,34860,-0.4,17,18.6,12.6,3.1,8.1,95.4,365.208333333333,0.000105876543209877,1.59670781893004e-05,0.000166716049382716,0,1193,0.0906666666666667,0.016,0.0497777777777778,0,1125,0.4,39.2,57.8,0.2,0.5,0,1.9,39.9,2.1,9.8,2.1,30.6,7.6,150,79.4,2,2.7,3.3,52.9,15.6,23.5,99240,81396,57549,53006,23.7,14.2,23.9,12.3,8.8,17.7,2.5,17.6,79.8,0,0,0,0,74.8,12.6,6.3,0,323332,1.34,12607.3742222222,43.5,44.2,12.3,0,2421.45333333333,0,12219.0293333333,10927,37.3,23,5.6,0.1,3.7,1,3.4,1,1.2,23.7,0,42.2,20.1,22.1,-1.49076226390061
"208",208,-0.445103401344112,"COLDSPRING-OAKHURST CISD",8,27402,3.9,16.8,26.2,11.2,4.6,8.1,66.6,0,0,0,0,0,1734,0.309021113243762,0.0147152911068458,0.177223288547665,0,1563,17.3,10.7,67.1,0.4,0.3,0,4.3,61.5,1.4,12.5,1.3,35.9,5.5,275,113.1,2.2,2.8,10.6,41.1,11.9,31.4,94181,78027,55426,51325,26.2,13.8,40,11.5,22.5,31.5,8,9.3,80,0,0.9,0,1.8,62.9,10.3,8.4,0.4,734324,1.155,12597.1708253359,11.5,75.8,12.7,0,3280.32693538068,0,15826.0524632118,11056,39.4,11,8.5,0.1,5.2,0.2,3.8,0.8,0,31,0,33,20,13,-0.191901340580117
"209",209,1.88086119855154,"COLEMAN ISD",6,7684,-13.6,17.7,30.4,15.8,4.1,7.4,70,271.791666666667,0.000216358732842249,1.60886913023666e-05,0.00017275154637792,0,904,0.262515262515263,0,0.186813186813187,0,819,2.1,26.4,66.7,0.2,1.1,0,3.5,61.1,2.2,11.8,2.2,30.8,2.8,166,75.1,1.2,2.3,5.7,45.2,13.3,32.2,87500,70718,63726,48140,16.2,10.9,27.7,12.9,13.3,21.9,1.3,5.3,93.3,0,0,0,0,86.3,3.2,1,0.3,215863,1.17,14512.0183150183,55.6,21.9,22.5,0,4596.12820512821,0,13737.8070818071,12600,30.2,8.5,20.8,0.1,3.9,0.7,4.2,0.8,2.9,28,0,33.3,6.6,26.7,1.88955244594666
"210",210,2.17951682023432,"COLLEGE STATION ISD",3,233849,20,20,19.4,41.7,2.7,5.3,85.1,730.125,1.2842721641424e-06,1.75928632549952e-07,2.34275668514658e-06,0.000505196304849885,14673,0.181581986143187,0.0229503464203233,0.115329099307159,0,13856,13.5,23.2,52,0.4,7.1,0.2,3.5,38,8.8,12.2,11.7,25.7,11.5,1945.4,986,0.9,2.4,9.2,50.7,13.1,23.7,109662,80065,64087,52086,29.3,14.1,29,12.5,30.3,14.6,3.7,10.8,83.5,0.3,0.8,0,0.9,70.8,7.8,4.1,4.5,701467,1.372,11819.6604359122,12.6,76.5,10.9,0,1634.14982678984,0,12853.2975606236,9550,46.7,13,6.4,1.5,2.6,0.6,3.2,1.5,0.1,24.5,0.000505196304849885,47.9,16.5,31.4,1.63976341919199
"211",211,-1.04824778767499,"COLLINSVILLE ISD",3,135543,12.1,11.6,17.1,20.4,3.1,5.9,89.7,266.8125,0.000618296967455621,2.68121301775148e-05,0.000341623520710059,0.0134615384615385,542,0.151923076923077,0,0.132692307692308,0,520,0.8,18.7,77.5,1.3,0,0,1.7,72.1,5,11.9,5,37.9,4.8,86.7,45.2,1.2,3.5,4.9,52.1,13.7,24.7,109000,79638,72291,53696,10.3,11.5,19.9,13.1,19.9,27.2,0,6.6,82.3,8.8,0,0,2.2,81.6,3.6,0,2.2,317381,1.43,12748.5365384615,55.6,39.2,5.2,0,2007.51346153846,0,12764.0288461538,10703,39.9,7.9,8.3,0.3,7.4,0.7,5.8,0.8,0,28.8,0.0134615384615385,22.5,17.6,4.9,-1.10085192198245
"212",212,0.691581919425565,"COLMESNEIL ISD",6,19798,-9,17.2,23.3,13.4,5.7,9.9,75.3,247.4375,0.000563827571845065,8.17367763431903e-05,0.000384995835068721,0.00204081632653061,527,0.0693877551020408,0,0.0306122448979592,0,490,2.4,4.3,91.2,0.6,0,0,1.4,59.6,0,13.1,0,39,0.4,67.9,41.8,1.5,0.3,2.2,61.6,5.9,28.5,129000,97384,45773,53433,8.8,11.7,28.7,14.4,33,37.3,0,2.4,97.6,0,0,0,0,76,5.4,0,0,284313,1.12,10649.0326530612,64.5,28.9,6.7,0,4735.70612244898,0,9732.51428571429,9130,36.9,6.3,6.6,0,8.4,0,3.5,0.7,1,36.6,0.00204081632653061,8.7,2.4,6.3,0.393612508349045
