Table with column headers in row 3,,,,,,
"2020 Poverty Estimates for School districts                                                                                                                                                       Source: U.S. Census Bureau, Small Area Income and Poverty Program (SAIPE)                                                                                                              Release date:   December 2021",,,,,,
State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AL,01,03510,Wilcox County School District,"10,206","1,678",520
AL,01,03540,Winfield City School District,"6,435",998,175
AL,01,03580,Winston County School District,"15,692","2,290",487
AK,02,00050,Alaska Gateway School District,"2,320",421,74
AK,02,00010,Aleutian Region School District,617,28,4
AK,02,00007,Aleutians East Borough School District,"3,401",182,23
AK,02,00180,Anchorage School District,"287,095","48,809","3,933"
AK,02,00525,Annette Island School District,"1,455",261,53
AK,02,00020,Bering Strait School District,"6,156","1,708",406
AK,02,00030,Bristol Bay Borough School District,788,112,12
AK,02,00730,Chatham School District,"1,275",168,36
AK,02,00800,Chugach School District,450,56,9
AK,02,00070,Copper River School District,"2,794",538,74
AK,02,00060,Cordova City School District,"2,153",341,17
AK,02,00090,Craig City School District,"1,197",215,28
AK,02,00100,Delta/Greely School District,"4,761",886,111
AK,02,00770,Denali Borough School District,"2,081",269,17
AK,02,00120,Dillingham City School District,"2,320",458,35
AK,02,00600,Fairbanks North Star Borough School District,"95,651","15,841","1,202"
AK,02,00130,Galena City School District,427,99,17
AK,02,00270,Haines Borough School District,"2,614",342,58
AK,02,00300,Hoonah City School District,776,109,24
AK,02,00330,Hydaburg City School District,375,64,18
AK,02,00520,Iditarod Area School District,"1,009",216,58
AK,02,00210,Juneau Borough School District,"31,849","4,904",454
AK,02,00360,Kake City School District,555,88,15
AK,02,00005,Kashunamiut School District,"1,042",306,130
AK,02,00390,Kenai Peninsula Borough School District,"59,414","9,735","1,170"
AK,02,00150,Ketchikan Gateway Borough School District,"13,747","2,169",182
AK,02,00450,Klawock City School District,752,140,22
AK,02,00480,Kodiak Island Borough School District,"12,992","2,297",156
AK,02,00760,Kuspuk School District,"1,523",346,116
AK,02,00485,Lake and Peninsula Borough School District,"1,493",297,66
AK,02,00001,Lower Kuskokwim School District,"15,408","3,804","1,318"
AK,02,00003,Lower Yukon School District,"6,720","1,918",771
AK,02,00510,Matanuska-Susitna Borough School District,"110,213","21,613","1,619"
AK,02,00540,Nenana City School District,343,65,16
AK,02,00570,Nome School District,"3,753",770,93
AK,02,00610,North Slope Borough School District,"9,294","1,857",227
AK,02,00625,Northwest Arctic Borough School District,"7,644","1,980",454
AK,02,00630,Pelican City School District,90,11,2
AK,02,00660,Petersburg Borough School District,"3,296",525,45
AK,02,00670,Pribilof School District,593,88,10
AK,02,00240,Sitka School District,"8,405","1,288",84
AK,02,00690,Skagway School District,"1,179",131,6
AK,02,00700,Southeast Island School District,"1,813",256,42
AK,02,00710,Southwest Region School District,"2,513",625,209
AK,02,00680,St. Marys City School District,566,152,65
AK,02,00715,Tanana City School District,224,46,10
AK,02,00720,Unalaska City School District,"4,470",376,15
AK,02,00780,Valdez City School District,"3,824",628,42
AK,02,00810,Wrangell School District,"2,510",363,37
AK,02,00840,Yakutat School District,637,98,22
AK,02,00775,Yukon Flats School District,"1,308",253,62
AK,02,00862,Yukon-Koyukuk School District,"1,815",359,96
AK,02,00004,Yupiit School District,"1,458",371,179
AZ,04,00450,Agua Fria Union High School District,"144,844","8,248",838
AZ,04,00480,Aguila Elementary District,"1,414",216,50
AZ,04,00520,Ajo Unified District,"3,577",421,103
AZ,04,00600,Alhambra Elementary District,"101,350","16,028","4,872"
AZ,04,00630,Alpine Elementary District,465,44,15
AZ,04,04770,Altar Valley Elementary District,"7,865","1,333",281
AZ,04,00680,Amphitheater Unified District,"147,446","18,907","2,881"
AZ,04,00720,Antelope Union High School District,"7,099",362,66
AZ,04,00750,Apache Elementary District,161,22,10
AZ,04,00790,Apache Junction Unified District,"72,827","8,133","1,237"
AZ,04,00840,Arlington Elementary District,"1,744",273,73
